Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 11:21:45,2017-04-10 11:22:06,20.514s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 11:21:46,2017-04-10 11:21:53,7.717s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 11:21:46,2017-04-10 11:21:48,2.339s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 11:21:48,2017-04-10 11:21:53,4.868s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 11:21:53,2017-04-10 11:21:53,0.088s,PASSED
,,,,,,
Test Cases/Test 2 by Kim,Chrome 57.0.2987.133,,2017-04-10 11:21:53,2017-04-10 11:22:06,12.384s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 11:21:54,2017-04-10 11:22:06,12.140s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 11:22:06,2017-04-10 11:22:06,0.139s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 11:22:06,1970-01-01 05:30:00,,INFO
